CONTENTID,CONTENTTYPEID,CAT1,CAT2,CAT3,TITLE,SIDOCODE,SIGUNGUCODE,ADDRESS,CREATEDTIME,MODIFIEDTIME,MAPX,MAPY,MLEVEL,FIRSTIMAGE,MCATEGORY,SCATEGORY,SEARCHCOUNT,OVERVIEW
2836227,39,A05,A0502,A05020100,또순이네,1,1020,서울특별시 영등포구 선유로47길 16 오오1004빌딩 ,20220812101833,20220916131820,126.8954016819,37.5359285378,6.0,http://tong.visitkorea.or.kr/cms/resource/14/2836214_image2_1.jpg,음식,한식,53228,"또순이네는 지하철 9호선 5번 출구 선유고등학교 부근에 있다. 대표 메뉴는 등심, 토시살이며 또순이네 된장찌개도 소문난 메뉴이다. 유명한 맛집 TV 프로그램에 소개된 적이 있다. 화로에 얹어서 끓여 먹는 된장찌개는 뚝배기에 내용물을 가득 채워 나온다. 단, 오후 2시까지만 된장찌개 식사가 가능하다. 넓은 주차장을 갖추고 있으며 인근에 당산 먹자골목도 있다. 또한, 인근에 양화한강공원, 선유도, 망원한강공원, 양화진 역사 공원 등 둘러볼 곳도 많다."
2757826,39,A05,A0502,A05020100,영동설렁탕,1,1015,서울특별시 서초구 강남대로101안길 24 (잠원동),20211016002405,20221216133020,127.0174022351,37.5162107911,6.0,http://tong.visitkorea.or.kr/cms/resource/96/2787996_image2_1.jpg,음식,한식,48397,30여 년간 한자리에서 운영된 이 식당은 아직도 허름한 식당 외관을 고수하고 있다. 이 집의 변함없는 맛을 보여주는 것 같다. 식당의 메뉴는 설렁탕과 수육 두 가지뿐이다. 이곳은 수육으로 이름나 있다. 큼지막하게 썰어 나온 무 깍두기와 겉절이 김치 역시 이 집의 자랑거리다.<br>3호선 신사역 신사동 간장게장 골목 건너편 잠원동 먹자거리 내에 있다.
132815,39,A05,A0502,A05020100,토속촌삼계탕,1,1023,서울특별시 종로구 자하문로5길 5 ,20040218090000,20230223164809,126.9715935592,37.5776167233,6.0,http://tong.visitkorea.or.kr/cms/resource/94/2018594_image2_1.jpg,음식,한식,38954,"[전통 삼계탕 계승 및 발전, 신토불이 재료 사용 업소]
경복궁역에 위치한 '토속촌 삼계탕'은 서울 시내에서 모르는 사람이 없을 정도로 유명한 삼계탕집이다. 특히 故 노무현 대통령이 즐겨 찾던 곳으로 소문이 나서 그 유명세가 더욱 커졌다. 이 집에서는 토종닭, 4년산 인삼, 밤, 대추, 마늘, 생강, 율무, 들깨, 호박씨, 해바라기씨, 호두, 잣, 검정깨 등의 재료를 농장에서 직접 키우고, 생산한다고 한다.
식사 시간에 찾아가면 줄을 서서  기다려야 하지만 내부가 워낙 크기 때문에 오래 기다릴 염려는 없다. 토속촌에는 삼계탕 외에도 오골삼계탕, 옻닭, 파전, 전기 통닭구이 등 메뉴가 다양하다."
2678890,39,A05,A0502,A05020100,토속촌삼계탕,1,1023,서울특별시 종로구 자하문로5길 5 ,20201027020258,20220401161617,126.9716463307,37.577655609,6.0,,음식,한식,38954,보양식으로 토속 삼계탕을 먹을 수 있는 곳이다. 서울특별시 종로구에 있는 한식전문점이다. 대표메뉴는 삼계탕이다.
2782140,39,A05,A0502,A05020100,진미평양냉면,1,1001,서울특별시 강남구 학동로 305-3 (논현동),20211126231544,20221212175405,127.0360560928,37.516202794,6.0,http://tong.visitkorea.or.kr/cms/resource/36/2782236_image2_1.png,음식,한식,37437,"임세권 셰프가 운영하는 평양냉면 전문점으로 2018년, 2021년 미슐랭 가이드 서울로 선정되었다. TV 예능프로그램 수요미식회 128회 방송에서 냉면 제육 맛집으로 소개되었다."
2685594,39,A05,A0502,A05020100,삼청각,1,1017,서울특별시 성북구 대사관로 3 ,20201125185420,20210329201758,126.9835391309,37.597422969,6.0,http://tong.visitkorea.or.kr/cms/resource/42/2684742_image2_1.jpg,문화관광,기타문화관광지,31975,아름다운 자연 환경 속에서 한정식을 즐길 수 있다. 서울특별시 성북구에 있는 한식전문점이다. 대표메뉴는 한정식이다.
2689422,39,A05,A0502,A05020100,함경도찹쌀순대,1,1018,서울특별시 송파구 송파대로28길 32 ,20201130202706,20221111115654,127.1213406056,37.4947957029,6.0,http://tong.visitkorea.or.kr/cms/resource/19/2684719_image2_1.jpg,음식,한식,30702,함경도식 찹쌀순대가 들어간 순대국 맛집이다. 대표메뉴는 순대다. 서울특별시 송파구에 있는 한식전문점이다.
2751840,39,A05,A0502,A05020100,중앙해장,1,1001,서울특별시 강남구 영동대로86길 17 (대치동),20210930183057,20231006102334,127.0655147449,37.5083459023,6.0,,음식,한식,29105,"강남구 삼성역 근처에 위치한 해장국 전문점이다.
1980년부터 현재까지 전국의 유명 해장국집 및 고깃집에 납품해 온 중앙 축산에서 문을 연 식당이다. 푸짐한 양의 내장이 들어간 진한 국물 맛의 해장국이 인기 메뉴이다. 주말에는 웨이팅이 길다."
403081,39,A05,A0502,A05020100,필동면옥,1,1024,서울특별시 중구 서애로 26 ,20080120063859,20221122163845,126.9970195064,37.560446953,6.0,http://tong.visitkorea.or.kr/cms/resource/45/399445_image2_1.jpg,음식,한식,27287,대체로 북쪽 지방의 음식은 담백함이 그 특징이다. 특히 평양냉면은 함흥냉면과 달리 담백한 맛이 좋다. 그래서 필동면옥의 냉면은 화학 조미료에 익숙해진 입에는 다소 생소한 맛일 수 있지만 자극적이지 않고 순한맛을 좋아하는 사람들에게는 더 없는 별미라 할 수 있다. 진하고 깔끔한 육수의 맛은 쫄깃한 면발과 잘 어우러져 냉면의 맛을 더해준다. 속이 꽉 차고 먹음직스러운 평양식 만두도 필동면옥을 찾는 많은 사람들이 좋아하는 대표적인 메뉴이다.
2843816,39,A05,A0502,A05020100,감나무집기사식당,1,1013,서울특별시 마포구 연남로 25 ,20220824165529,20220916140947,126.9219151974,37.561950988,6.0,http://tong.visitkorea.or.kr/cms/resource/12/2843812_image2_1.jpg,음식,한식,27006,"연남동에 있는 감나무집 기사식당은 돼지불백 맛집으로 유명하다. MBC 인기 프로그램 &lt;무한도전&gt;에 소개되어 입소문을 탔다. 대표메뉴인 돼지불백뿐만 아니라 두부찌개, 생선구이, 백반, 닭볶음탕 등 다양한 음식을 즐길 수 있다. 매장이 넓은 편이며 24시간 내내 오픈하여 어느 시간대에도 이용할 수 있다. 전용 무료 주차장이 넓어서 접근이 편리하다. 경의선 숲길 산책로가 가까워 식사 후 산책하기에 좋다."
